2022-06-23 07:22:27 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:27 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:27 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-06-23 07:22:27 configure libubsan1:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked libubsan1:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libubsan1:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libubsan1:amd64 10.2.1-6
2022-06-23 07:22:27 configure libnsl-dev:amd64 1.3.0-2 <none>
2022-06-23 07:22:27 status unpacked libnsl-dev:amd64 1.3.0-2
2022-06-23 07:22:27 status half-configured libnsl-dev:amd64 1.3.0-2
2022-06-23 07:22:27 status installed libnsl-dev:amd64 1.3.0-2
2022-06-23 07:22:27 configure libcrypt-dev:amd64 1:4.4.18-4 <none>
2022-06-23 07:22:27 status unpacked libcrypt-dev:amd64 1:4.4.18-4
2022-06-23 07:22:27 status half-configured libcrypt-dev:amd64 1:4.4.18-4
2022-06-23 07:22:27 status installed libcrypt-dev:amd64 1:4.4.18-4
2022-06-23 07:22:27 configure libssh2-1:amd64 1.9.0-2 <none>
2022-06-23 07:22:27 status unpacked libssh2-1:amd64 1.9.0-2
2022-06-23 07:22:27 status half-configured libssh2-1:amd64 1.9.0-2
2022-06-23 07:22:27 status installed libssh2-1:amd64 1.9.0-2
2022-06-23 07:22:27 configure re2c:amd64 2.0.3-1 <none>
2022-06-23 07:22:27 status unpacked re2c:amd64 2.0.3-1
2022-06-23 07:22:27 status half-configured re2c:amd64 2.0.3-1
2022-06-23 07:22:27 status installed re2c:amd64 2.0.3-1
2022-06-23 07:22:27 configure libbinutils:amd64 2.35.2-2 <none>
2022-06-23 07:22:27 status unpacked libbinutils:amd64 2.35.2-2
2022-06-23 07:22:27 status half-configured libbinutils:amd64 2.35.2-2
2022-06-23 07:22:27 status installed libbinutils:amd64 2.35.2-2
2022-06-23 07:22:27 configure libisl23:amd64 0.23-1 <none>
2022-06-23 07:22:27 status unpacked libisl23:amd64 0.23-1
2022-06-23 07:22:27 status half-configured libisl23:amd64 0.23-1
2022-06-23 07:22:27 status installed libisl23:amd64 0.23-1
2022-06-23 07:22:27 configure libc-dev-bin:amd64 2.31-13+deb11u3 <none>
2022-06-23 07:22:27 status unpacked libc-dev-bin:amd64 2.31-13+deb11u3
2022-06-23 07:22:27 status half-configured libc-dev-bin:amd64 2.31-13+deb11u3
2022-06-23 07:22:27 status installed libc-dev-bin:amd64 2.31-13+deb11u3
2022-06-23 07:22:27 configure openssl:amd64 1.1.1n-0+deb11u2 <none>
2022-06-23 07:22:27 status unpacked openssl:amd64 1.1.1n-0+deb11u2
2022-06-23 07:22:27 status half-configured openssl:amd64 1.1.1n-0+deb11u2
2022-06-23 07:22:27 status installed openssl:amd64 1.1.1n-0+deb11u2
2022-06-23 07:22:27 configure libcc1-0:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked libcc1-0:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libcc1-0:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libcc1-0:amd64 10.2.1-6
2022-06-23 07:22:27 configure liblsan0:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked liblsan0:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured liblsan0:amd64 10.2.1-6
2022-06-23 07:22:27 status installed liblsan0:amd64 10.2.1-6
2022-06-23 07:22:27 configure cpp-10:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked cpp-10:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured cpp-10:amd64 10.2.1-6
2022-06-23 07:22:27 status installed cpp-10:amd64 10.2.1-6
2022-06-23 07:22:27 configure libitm1:amd64 10.2.1-6 <none>
2022-06-23 07:22:27 status unpacked libitm1:amd64 10.2.1-6
2022-06-23 07:22:27 status half-configured libitm1:amd64 10.2.1-6
2022-06-23 07:22:27 status installed libitm1:amd64 10.2.1-6
2022-06-23 07:22:27 configure libgdbm6:amd64 1.19-2 <none>
2022-06-23 07:22:27 status unpacked libgdbm6:amd64 1.19-2
2022-06-23 07:22:27 status half-configured libgdbm6:amd64 1.19-2
2022-06-23 07:22:27 status installed libgdbm6:amd64 1.19-2
2022-06-23 07:22:27 configure libtsan0:amd64 10.2.1-6 <none>
